;;;;;;; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ;;;
No;Nama Obat;Satuan;Harga Satuan;Jml/Kemasan;Kegunaan;Jenis / Golongan Obat; 08-24 ; 08-24 ; 08-24 ; 09-24 ; 09-24 ; 09-24 ; 09-24 ; 10-24 ; 10-24 ; 10-24 ; 10-24 ; 11-24 ; 11-24 ; 11-24 ; 11-24 ; 12-24 ; 12-24 ; 12-24 ; 12-24 ; 01-25 ; 01-25 ; 01-25 ; 01-25 ; 02-25 ; 02-25 ; 02-25 ; 02-25 ; 03-25 ; 03-25 ; 03-25 ; 03-25 ; 04-25 ; 04-25 ; 04-25 ; 04-25 ; 05-25 ; 05-25 ; 05-25 ; 05-25 ; 06-25 ; 06-25 ; 06-25 ; 06-25 ; 07-25 ; 07-25 ; 07-25 ; 07-25 ; 08-25 ; 08-25 ; 08-25 ; 08-25 ; 09-25 ; 09-25 ; 09-25 ; 09-25 ;Ket Selisih; Data Wafa ; Variance 
1;Allopurinol;Tablet;0;0;Mengurangi Kadar Asam Urat Berlebih Di Dalam Darah;obat antiinflamasi nonsteroid (NSAID); -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 200 ; 200 ; 100 ; 100 ; 300 ; 400 ; 100 ; 300 ; -   ; 300 ; 50 ; 250 ; -   ; 250 ; 80 ; 170 ; 100 ; 270 ; 95 ; 175 ; -   ; 175 ; 55 ; 120 ; 100 ; 220 ; 75 ; 145 ; -   ; 145 ; 60 ; 85 ; 100 ; 185 ; -   ; 185 ;; 185 ; -   
2;Ambeven;Tablet;0;0;"Mengobati Wasir, Ambeien, Atau Hemoroid";Herbal; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; 20 ; 80 ; -   ; 80 ; 30 ; 50 ; -   ; 50 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; 10 ; 90 ; -   ; 90 ; 20 ; 70 ; -   ; 70 ; 60 ; 10 ; 100 ; 110 ; 10 ; 100 ; -   ; 100 ; 30 ; 70 ;; 70 ; -   
3;Ambroxol;Tablet;0;0;"Mengencerkan Dahak. Obat Ini Dapat Digunakan Pada Berbagai Kondisi Dengan Batuk Berdahak, Termasuk Batuk Pilek (Common Cold), Bronkitis, Emfisema, Atau Bronkiektasis";mukolitik; 200 ; 30 ; 170 ; -   ; 170 ; 70 ; 100 ; -   ; 100 ; 100 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 200 ; 200 ; 150 ; 50 ; 100 ; 150 ; 150 ; -   ; 300 ; 300 ; 100 ; 200 ; -   ; 200 ; 200 ; -   ; 200 ; 200 ; 85 ; 115 ; -   ; 115 ; 115 ; -   ; 200 ; 200 ; 110 ; 90 ; -   ; 90 ; 90 ; -   ;; -   ; -   
4;Amlodipin 10Mg;Tablet;0;0;Tekanan Darah Tinggi (Hipertensi);calcium-channel blockers (CCBs); -   ; -   ; -   ; 100 ; 100 ; 100 ; -   ; 200 ; 200 ; 160 ; 40 ; 200 ; 240 ; 110 ; 130 ; 200 ; 330 ; 80 ; 250 ; -   ; 250 ; 210 ; 40 ; 200 ; 240 ; 120 ; 120 ; -   ; 120 ; 110 ; 10 ; 300 ; 310 ; 70 ; 240 ; -   ; 240 ; 240 ; -   ; 150 ; 150 ; 120 ; 30 ; 100 ; 130 ; 120 ; 10 ; 200 ; 210 ; 210 ; -   ; 200 ; 200 ; 160 ; 40 ;; 40 ; -   
5;Amlodipin 5Mg;Tablet;0;0;Tekanan Darah Tinggi (Hipertensi);calcium-channel blockers (CCBs); -   ; -   ; -   ; 200 ; 200 ; 200 ; -   ; 200 ; 200 ; 200 ; -   ; 200 ; 200 ; 120 ; 80 ; 100 ; 180 ; 150 ; 30 ; 300 ; 330 ; 140 ; 190 ; 100 ; 290 ; 180 ; 110 ; 100 ; 210 ; 140 ; 70 ; 300 ; 370 ; 310 ; 60 ; 300 ; 360 ; 110 ; 250 ; 100 ; 350 ; 350 ; -   ; 200 ; 200 ; 183 ; 17 ; 300 ; 317 ; 197 ; 120 ; 300 ; 420 ; 230 ; 190 ;; 190 ; -   
6;Amoxicilin;Tablet;0;0;Antibiotik - Infeksi Bakteri;penisilin; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 200 ; 200 ; 200 ; -   ; 300 ; 300 ; 40 ; 260 ; 300 ; 560 ; 260 ; 300 ; 500 ; 800 ; 380 ; 420 ; -   ; 420 ; 310 ; 110 ; 400 ; 510 ; 370 ; 140 ; 300 ; 440 ; 270 ; 170 ; 200 ; 370 ; 260 ; 110 ; 300 ; 410 ; 140 ; 270 ; -   ; 270 ; 230 ; 40 ; 300 ; 340 ; 190 ; 150 ;Selisih dibulan Mei ; 140 ; (10)
7;Antasida Doen Sirup;Botol;0;0;Nyeri Lambung;antasida; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; 20 ; 5 ; 15 ; 10 ; 25 ; 8 ; 17 ; -   ; 17 ; 9 ; 8 ; 14 ; 22 ; 16 ; 6 ; 50 ; 56 ; 46 ; 10 ; -   ; 10 ; 10 ; -   ; 15 ; 15 ; 10 ; 5 ; 10 ; 15 ; 15 ; -   ; 15 ; 15 ; 15 ; -   ; 25 ; 25 ; 14 ; 11 ; -   ; 11 ; 11 ; -   ;; -   ; -   
8;Antasida Doen Tablet;Tablet;0;0;Nyeri Lambung;antasida; -   ; -   ; -   ; 200 ; 200 ; 190 ; 10 ; 400 ; 410 ; 410 ; -   ; 300 ; 300 ; 300 ; -   ; 300 ; 300 ; 240 ; 60 ; 400 ; 460 ; 370 ; 90 ; 500 ; 590 ; 550 ; 40 ; 700 ; 740 ; 280 ; 460 ; -   ; 460 ; 340 ; 120 ; 300 ; 420 ; 380 ; 40 ; 300 ; 340 ; 320 ; 20 ; 400 ; 420 ; 372 ; 48 ; 300 ; 348 ; 348 ; -   ; 400 ; 400 ; 370 ; 30 ;; 30 ; -   
9;Asam Mefenamat;Tablet;0;0;"Meredakan Nyeri Yang Muncul Pada Saat Sakit Gigi, Sakit Kepala, Bahkan Nyeri Haid";obat antiinflamasi nonsteroid (NSAID); -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 500 ; 500 ; 395 ; 105 ; 300 ; 405 ; 385 ; 20 ; 500 ; 520 ; 350 ; 170 ; 500 ; 670 ; 440 ; 230 ; 300 ; 530 ; 310 ; 220 ; 300 ; 520 ; 350 ; 170 ; 300 ; 470 ; 395 ; 75 ; 400 ; 475 ; 455 ; 20 ; 400 ; 420 ; 192 ; 228 ; 200 ; 428 ; 428 ; -   ; 400 ; 400 ; 400 ; -   ;; -   ; -   
