Nama Obat;Satuan;Keterangan;Harga Satuan;Harga Perkemasan;Jenis Obat;Stok Awal;Stok Masuk;Stok Keluar
Allopurinol;Tablet;Mengurangi Kadar Asam Urat Berlebih Di Dalam Darah;500;10000;Tablet;145;0;0
Ambeven;Tablet;"Mengobati Wasir,Ambeien,Atau Hemoroid";300;6000;Tablet;10;100;0
Ambroxol;Tablet;Mengencerkan Dahak;200;5000;Tablet;0;200;0
Amlodipin 10Mg;Tablet;Tekanan Darah Tinggi (Hipertensi);800;16000;Tablet;10;200;0
Amlodipin 5Mg;Tablet;Tekanan Darah Tinggi (Hipertensi);600;12000;Tablet;17;300;0
Amoxicilin;Tablet;Antibiotik - Infeksi Bakteri;400;8000;Tablet;270;0;0
Antasida Doen Sirup;Botol;Nyeri Lambung;1500;30000;Sirup;0;25;0
Antasida Doen Tablet;Tablet;Nyeri Lambung;200;4000;Tablet;48;300;0
Asam Mefenamat;Tablet;"Meredakan Nyeri Yang Muncul Pada Saat Sakit Gigi,Sakit Kepala,Bahkan Nyeri Haid";250;5000;Tablet;228;200;0
Attapulgite;Tablet;Obat Untuk Meredakan Diare;150;3000;Tablet;250;0;0
Cefadroxil;Tablet;"Infeksi Saluran Pernapasan Seperti Bronkitis,Infeksi Kulit,Tulang,Sendi,Saluran Kemih Serta Gonorrhea";600;12000;Tablet;80;0;0
Cefixme;Tablet;"Mengatasi Infeksi Bakteri Seperti Infeksi Tht,Radang Tenggorokan,Infeksi Darah,Infeksi Tulang,Infeksi Saluran Kemih,Pneumonia,Infeksi Kulit,Sumsung Tulang,Gonore,Dan Infeksi Setelah Melahirkan";800;16000;Tablet;100;0;0
Cetirizine;Tablet;Mengurangi Gejala Yang Diakibatkan Oleh Reaksi Alergi;300;6000;Tablet;40;300;0
Cipropluxacin;Tablet;"Antibiotik Untuk Mengatasi Berbagai Penyakit Akibat Infeksi Bakteri,Seperti Pneumonia,Gonore,Infeksi Saluran Kemih,Infeksi Prostat,Atau Infeksi Mata Dan Telinga";1000;20000;Tablet;20;0;0
CTM;Tablet;"Meredakan Gejala Alergi,Rhinitis Alergi (Hay Fever),Atau Batuk Pilek";200;4000;Tablet;40;100;0
Dexamethasone;Tablet;"Meredakan Peradangan Pada Beberapa Kondisi,Seperti Reaksi Alergi,Penyakit Autoimun,Atau Radang Sendi";400;8000;Tablet;160;100;0
Diatabs;Tablet;"Pengobatan Simtomatik Pada Diare Non-Spesifik,Yaitu Diare Yang Tidak Diketahui Penyebabnya Dengan Jelas";250;5000;Tablet;390;200;0
Flucadex;Tablet;"Obat Yang Bermanfaat Untuk Meredakan Flu Dan Batuk,Baik Batuk Berdahak Maupun Batuk Tidak Berdahak";350;7000;Tablet;80;400;0
