Nama Diagnosa       ; Deskripsi
Abdominal Pain      ; Ketidaknyamanan Di Area Perut Yang Dapat Disebabkan Oleh Berbagai Faktor, Mulai Dari Masalah Pencernaan Ringan Seperti Maag Hingga Kondisi Serius Seperti Radang Usus Buntu (Apendisitis) Atau Batu Empedu
Abses               ; Kumpulan Nanah Yang Terbentuk Dalam Kantong Di Jaringan Tubuh, Biasanya Akibat Infeksi Bakteri, Parasit, Atau Zat Asing Lainnya
Alergi              ; Reaksi Berlebihan Sistem Kekebalan Tubuh Terhadap Zat Yang Sebenarnya Tidak Berbahaya (Alergen), Seperti Makanan, Serbuk Sari, Atau Gigitan Serangga
Amenorea            ; Kondisi Tidak Adanya Menstruasi Pada Seorang Wanita Yang Tidak Dalam Masa Hamil, Menyusui, Menopause, Atau Sebelum Pubertas
Asam Urat           ; Metabolisme Purin Yang Menumpuk Dalam Darah Akibat Produksi Berlebih Atau Gangguan Pengeluaran, Yang Kemudian Membentuk Kristal Di Sendi Dan Jaringan, Menyebabkan Peradangan Dan Nyeri Pada Penyakit Gout (Asam Urat)
Asma                ; Penyakit Kronis Peradangan Pada Saluran Napas Yang Menyebabkan Penyempitan, Sehingga Menimbulkan Gejala Seperti Sesak Napas, Batuk, Dan Mengi (Napas Berbunyi)
Astenopia           ; Kelelahan Atau Ketegangan Pada Mata Yang Disebabkan Oleh Penggunaan Otot Mata Yang Berlebihan, Sering Kali Akibat Aktivitas Visual Intens Seperti Menatap Layar Komputer Dalam Waktu Lama
Cephalgia           ; Sakit Kepala, Yang Merujuk Pada Berbagai Jenis Nyeri Yang Dirasakan Di Area Kepala, Wajah, Atau Leher
Check Gula          ; Mendiagnosis Dan Memantau Kondisi Seperti Diabetes Dan Obesitas, Mengidentifikasi Kadar Gula Darah Tinggi Atau Rendah, Memantau Efektivitas Pengobatan, Serta Membantu Seseorang Memahami Pengaruh Makanan Dan Aktivitas Fisik Terhadap Kadar Gula Darah
Check Kolestrol     ; Mendeteksi Dini Kadar Kolesterol Tinggi Dalam Darah Yang Dapat Meningkatkan Risiko Penyakit Jantung Dan Stroke, Serta Untuk Memantau Efektivitas Pengobatan Dan Gaya Hidup Sehat Untuk Mengontrol Kolesterol Demi Mencegah Komplikasi Lebih Lanjut Seperti Penyumbatan Pembuluh Darah
Colic Abd           ; Nyeri Hebat Dan Hilang Timbul Pada Perut Yang Disebabkan Oleh Kontraksi Otot, Penyumbatan, Atau Peradangan Pada Organ Dalam Perut Seperti Usus, Ginjal, Atau Kantong Empedu
Combustio           ; Luka Bakar, Yaitu Kerusakan Atau Kehilangan Jaringan Kulit Dan/Atau Jaringan Di Bawahnya Yang Disebabkan Oleh Paparan Sumber Panas Seperti Api, Air Panas, Listrik, Bahan Kimia, Radiasi, Atau Bahkan Dingin Ekstrem
Dermatitis Kontak   ; Peradangan Pada Kulit Akibat Paparan Zat Tertentu Yang Menyebabkan Iritasi Atau Reaksi Alergi
Dermatitis Serboroik; Peradangan Kulit Kronis Yang Menyebabkan Kulit Menjadi Kering, Merah, Bersisik, Dan Gatal, Terutama Di Area Kulit Kepala, Wajah, Dan Lipatan Tubuh Yang Kaya Kelenjar Minyak
Diabetes Melitus    ; Penyakit Kronis Akibat Tingginya Kadar Gula Darah Karena Tubuh Tidak Memproduksi Insulin Yang Cukup Atau Tidak Dapat Menggunakannya Secara Efektif
Diare               ; Gangguan Buang Air Besar (Bab) Yang Ditandai Dengan Frekuensi Bab Yang Meningkat, Tinja Yang Lebih Lembek Atau Cair, Dan Kadang Disertai Kram Perut, Mual, Atau Demam
Dismenore           ; Kondisi Nyeri Saat Menstruasi, Termasuk Kram Di Perut Bagian Bawah, Punggung, Atau Paha, Yang Terjadi Sebelum Atau Saat Haid
Dispepsia           ; Sekumpulan Gejala Gangguan Pencernaan Di Perut Bagian Atas, Seperti Nyeri Ulu Hati, Kembung, Mual, Dan Perut Terasa Penuh Atau Cepat Kenyang, Yang Sering Disebut Masyarakat Sebagai Maag
Faringitis          ; Peradangan Pada Dinding Belakang Tenggorokan (Faring) Yang Umumnya Disebabkan Oleh Infeksi Virus Atau Bakteri
Febris              ; Kondisi Peningkatan Suhu Tubuh Di Atas Batas Normal (Sekitar 37,5°C) Sebagai Respons Alami Tubuh Untuk Melawan Infeksi Bakteri, Virus, Jamur, Atau Parasit
Furunkel            ; Infeksi Kulit Yang Umum Ditandai Dengan Benjolan Merah, Nyeri, Dan Berisi Nanah Yang Disebabkan Oleh Infeksi Bakteri Pada Folikel Rambut, Paling Sering Oleh Bakteri Staphylococcus Aureus
GEA                 ; Gastroenteritis Akut, Yaitu Peradangan Pada Lambung Dan Usus Yang Menyebabkan Diare, Mual, Dan Muntah
Gingivitis          ; Peradangan Ringan Pada Gusi Akibat Penumpukan Plak Bakteri Dari Sisa Makanan Yang Mengeras, Menyebabkan Gusi Menjadi Merah, Bengkak, Dan Mudah Berdarah
Haid                ; Proses Biologis Bulanan Pada Wanita, Di Mana Darah Dan Jaringan Dari Dinding Rahim Luruh Keluar Melalui Vagina Karena Tidak Terjadi Pembuahan
hCG test            ; (Human Chorionic Gonadotropin) Mengukur Kadar Hormon Hcg Dalam Tubuh Untuk Mendeteksi Kehamilan
Hematom             ; Kondisi Penumpukan Darah Yang Tidak Normal Di Luar Pembuluh Darah, Seperti Memar Pada Kulit, Yang Disebabkan Oleh Rusaknya Pembuluh Darah Akibat Cedera, Benturan, Atau Gangguan Medis Lainnya
Hemoroid            ; Kondisi Pelebaran Dan Peradangan Pembuluh Darah Vena Di Sekitar Anus Atau Rektum
Hiperlipidemia      ; Kondisi Kadar Lemak (Lipid), Yaitu Kolesterol Dan Trigliserida, Dalam Darah Melebihi Batas Normal
Hipertensi          ; Kondisi Tekanan Darah Di Arteri Secara Konstan Berada Di Atas Batas Normal, Biasanya Di Atas 140/90 Mmhg
Hipourisemia        ; Kondisi Kadar Asam Urat Dalam Darah Yang Rendah Atau Di Bawah Normal, Biasanya Didefinisikan Sebagai Kurang Dari Atau Sama Dengan 2 Mg/Dl
Hordeolum           ; Mata Bintitan, Adalah Infeksi Bakteri Pada Kelenjar Kelopak Mata Yang Menyebabkan Benjolan Nyeri Dan Bengkak Di Kelopak Mata, Seringkali Mirip Jerawat
Infeksi             ; Kondisi Saat Mikroorganisme Patogen Seperti Bakteri, Virus, Jamur, Atau Parasit Menyerang Dan Berkembang Biak Di Dalam Tubuh, Menyebabkan Penyakit
Iritasi             ; Peradangan, Reaksi Nyeri, Atau Kerusakan Sel Yang Disebabkan Oleh Paparan Zat Atau Rangsangan Tertentu, Baik Itu Bahan Kimia, Mekanis, Panas, Maupun Alergi
ISK                 ; Infeksi Saluran Kemih, Sebuah Kondisi Medis Di Mana Organ-Organ Pada Sistem Kemih Seperti Ginjal, Ureter, Kandung Kemih, Dan Uretra Mengalami Infeksi Akibat Masuknya Bakteri
ISPA                ; Infeksi Saluran Pernapasan Akut Adalah Infeksi Yang Secara Tiba-Tiba Menyerang Saluran Pernapasan, Mulai Dari Hidung Hingga Paru-Paru, Yang Dapat Disebabkan Oleh Virus, Bakteri, Atau Jamur
Jamur               ; Infeksi Yang Disebabkan Oleh Jamur Yang Dapat Menyerang Kulit, Kuku, Dan Bagian Tubuh Lain Seperti Paru-Paru, Dan Bahkan Memengaruhi Sistem Saraf
KBP                 ; Obat Kontrasepsi Oral Yang Mengandung Hormon (Estrogen Dan/Atau Progestin) Untuk Mencegah Kehamilan Dengan Cara Menghambat Pelepasan Sel Telur, Mengentalkan Lendir Leher Rahim, Dan Menipiskan Dinding Rahim
KBS                 ; -
KBS - 3 Bln         ; -
Konjungtivitis      ; Peradangan Pada Selaput Bening (Konjungtiva) Yang Melapisi Bagian Putih Mata Dan Bagian Dalam Kelopak Mata, Sering Disebut Sebagai Mata Merah Atau Mata Pink
Luka                ; Hilangnya Atau Rusaknya Integritas Jaringan Tubuh, Seperti Kulit, Akibat Trauma Fisik, Benda Tajam, Panas, Bahan Kimia, Atau Pembedahan
Myalgia             ; Istilah Medis Untuk Nyeri Otot, Yang Merupakan Gejala Dari Berbagai Kondisi Dan Bukan Suatu Penyakit Itu Sendiri
Obs Febris          ; Observasi Febris (Of) Adalah Tindakan Pemantauan Demam Untuk Mengetahui Perkembangannya Dan Mengidentifikasi Penyebabnya, Sehingga Dapat Diberikan Penanganan Yang Tepat Untuk Mengatasi Demam Tersebut
OMA                 ; Otitis Media Akut, Yaitu Peradangan Akut (Cepat Dan Singkat) Pada Telinga Bagian Tengah Akibat Infeksi Bakteri Atau Virus, Yang Seringkali Ditandai Dengan Gejala Seperti Nyeri Telinga, Demam, Dan Pendengaran Berkurang
Otitis Media        ; Peradangan Atau Infeksi Pada Telinga Tengah, Yaitu Bagian Di Belakang Gendang Telinga
Parotis             ; Pembengkakan Pada Kelenjar Parotis (Kelenjar Ludah Di Dekat Telinga) Yang Paling Umum Dikenal Sebagai Gondongan, Disebabkan Oleh Infeksi Virus Paramixovirus Yang Menular Melalui Droplet
POJP                ; Penyakit Otot Jaringan Perkapital : Peradangan Jaringan Otot Yang Disebabkan Karena Cedera, Infeksi, Dan Penyakit Autoimun
